title,date,specimenId,species,sex,abdomenStatus,morphSpecies,morphSex,morphAbdomenStatus,morphNotes,country,district,site,speciesArray,speciesScore,abdomenArray,abdomenScore,abdomen2Array,abdomen2Score,sexArray,sexScore,speciesModel,sexModel,abdomenStatusModel,abdomenStatus2Model,appVersion,yolovCoordinates,fullImage,image,yolovConfidenceLevel,imageZoomed,status,latitude,longitude,cityName,deviceInUse,phoneInUse,deviceId,localId,collectionMethod,createdAt,hardware,isCompleted,name,notes,updatedAt,specimenIdDup
﻿Parthvi Mehta_USA_Maryland_1678818522682,14/03/2023,PM_JHU_G001_02,Anopheles other,Female,FF - Fully Fed,Anopheles other,Female,,,USA,Maryland,Baltimore,"[0.08247608,0.002511773,0.9142609,0.00039008088,0.00036122458]",0.9142609,"[0.13289529,0.45832732,0.40877745]",0.45832732,[],,"[0.7857574,0.21424259]",0.7857574,species_with_normalization_03_07_23.ptl,sex_with_normalization_03_07_23.ptl,abdomen_with_normalization_03_07_23.ptl,abdomen_stage2_12_02_2022.ptl,2.2.1,"40, 192 - 394, 467",http://137.184.182.201:5005/images/session/fullImage-2023-03-14-18-58-28.497-fullbd66cdc5eec539ec-4-193.jpg,http://137.184.182.201:5005/images/session/image-2023-03-14-18-58-28.363-bd66cdc5eec539ec-4-193.jpg,0.84,Yes,Fresh,39.32658207,-76.62219038,Baltimore,V015,h,bd66cdc5eec539ec:70e6ae03-0545-409c-8130-cc2cdd8c2fc5,0.300694444,Pyrethroid Spray Catch (PSC),2023-03-14T18:58:28.601Z,,False,Parthvi Mehta,test_gambiae,2023-03-14T18:58:28.601Z,﻿ParthviMehta_USA_Maryland_1678818522682&&14-03-2023&&PM_JHU_G001_02
Parthvi Mehta_USA_Maryland_1678818522682,14/03/2023,PM_JHU_G001,Anopheles funestus,Female,UF - Unfed,Anopheles funestus,Female,,,USA,Maryland,Baltimore,"[0.93944216,0.03504905,0.024836984,0.00014124163,0.00053057197]",0.93944216,"[0.37751734,0.3668265,0.25565618]",0.37751734,[],,"[0.7371714,0.26282862]",0.7371714,species_with_normalization_03_07_23.ptl,sex_with_normalization_03_07_23.ptl,abdomen_with_normalization_03_07_23.ptl,abdomen_stage2_12_02_2022.ptl,2.2.1,"13, 93 - 404, 536",http://137.184.182.201:5005/images/session/fullImage-2023-03-14-18-58-28.499-fullbd66cdc5eec539ec-4-192.jpg,http://137.184.182.201:5005/images/session/image-2023-03-14-18-58-28.361-bd66cdc5eec539ec-4-192.jpg,0.76,Yes,Fresh,39.32658207,-76.62219038,Baltimore,V015,h,bd66cdc5eec539ec:70e6ae03-0545-409c-8130-cc2cdd8c2fc5,0.3,Pyrethroid Spray Catch (PSC),2023-03-14T18:58:28.606Z,,False,Parthvi Mehta,test_gambiae,2023-03-14T18:58:28.606Z,ParthviMehta_USA_Maryland_1678818522682&&14-03-2023&&PM_JHU_G001
Parthvi Mehta_USA_Maryland_1678818522682,14/03/2023,PM_JHU_G001_03,Anopheles funestus,Female,FF - Fully Fed,Anopheles funestus,Female,,,USA,Maryland,Baltimore,"[0.9108801,0.08396726,0.0043368447,0.00025320737,0.0005626457]",0.9108801,"[0.34350714,0.38044906,0.27604386]",0.38044906,[],,"[0.94205797,0.057942055]",0.94205797,species_with_normalization_03_07_23.ptl,sex_with_normalization_03_07_23.ptl,abdomen_with_normalization_03_07_23.ptl,abdomen_stage2_12_02_2022.ptl,2.2.1,"7, 48 - 430, 451",http://137.184.182.201:5005/images/session/fullImage-2023-03-14-18-58-28.549-fullbd66cdc5eec539ec-4-194.jpg,http://137.184.182.201:5005/images/session/image-2023-03-14-18-58-28.398-bd66cdc5eec539ec-4-194.jpg,0.78,Yes,Fresh,39.32658207,-76.62219038,Baltimore,V015,h,bd66cdc5eec539ec:70e6ae03-0545-409c-8130-cc2cdd8c2fc5,0.301388889,Pyrethroid Spray Catch (PSC),2023-03-14T18:58:28.652Z,,False,Parthvi Mehta,test_gambiae,2023-03-14T18:58:28.652Z,ParthviMehta_USA_Maryland_1678818522682&&14-03-2023&&PM_JHU_G001_03
Parthvi Mehta_USA_Maryland_1678818522682,14/03/2023,PM_JHU_G004,Anopheles funestus,Female,UF - Unfed,Anopheles funestus,Female,,,USA,Maryland,Baltimore,"[0.97419214,0.021669116,0.0025240849,0.00022119358,0.0013934756]",0.97419214,"[0.7426178,0.18081175,0.07657049]",0.7426178,[],,"[0.93672067,0.0632793]",0.93672067,species_with_normalization_03_07_23.ptl,sex_with_normalization_03_07_23.ptl,abdomen_with_normalization_03_07_23.ptl,abdomen_stage2_12_02_2022.ptl,2.2.1,"13, 75 - 455, 544",http://137.184.182.201:5005/images/session/fullImage-2023-03-14-18-58-28.560-fullbd66cdc5eec539ec-4-201.jpg,http://137.184.182.201:5005/images/session/image-2023-03-14-18-58-28.405-bd66cdc5eec539ec-4-201.jpg,0.9,Yes,Fresh,39.32658207,-76.62219038,Baltimore,V015,h,bd66cdc5eec539ec:70e6ae03-0545-409c-8130-cc2cdd8c2fc5,0.30625,Pyrethroid Spray Catch (PSC),2023-03-14T18:58:28.696Z,,False,Parthvi Mehta,test_gambiae,2023-03-14T18:58:28.696Z,ParthviMehta_USA_Maryland_1678818522682&&14-03-2023&&PM_JHU_G004
Parthvi Mehta_USA_Maryland_1678818522682,14/03/2023,PM_JHU_G004_03,Anopheles gambiae,Female,FF - Fully Fed,Anopheles gambiae,Female,,,USA,Maryland,Baltimore,"[0.4266879,0.5652955,0.0072020823,0.0004251028,0.00038945526]",0.5652955,"[0.13896322,0.68500656,0.1760303]",0.68500656,[],,"[0.97983265,0.020167371]",0.97983265,species_with_normalization_03_07_23.ptl,sex_with_normalization_03_07_23.ptl,abdomen_with_normalization_03_07_23.ptl,abdomen_stage2_12_02_2022.ptl,2.2.1,"18, 44 - 435, 495",http://137.184.182.201:5005/images/session/fullImage-2023-03-14-18-58-28.663-fullbd66cdc5eec539ec-4-203.jpg,http://137.184.182.201:5005/images/session/image-2023-03-14-18-58-28.486-bd66cdc5eec539ec-4-203.jpg,0.45,Yes,Fresh,39.32658207,-76.62219038,Baltimore,V015,h,bd66cdc5eec539ec:70e6ae03-0545-409c-8130-cc2cdd8c2fc5,0.307638889,Pyrethroid Spray Catch (PSC),2023-03-14T18:58:28.744Z,,False,Parthvi Mehta,test_gambiae,2023-03-14T18:58:28.744Z,ParthviMehta_USA_Maryland_1678818522682&&14-03-2023&&PM_JHU_G004_03
Parthvi Mehta_USA_Maryland_1678818522682,14/03/2023,PM_JHU_G004_02,Anopheles funestus,Female,FF - Fully Fed,Anopheles funestus,Female,,,USA,Maryland,Baltimore,"[0.85733134,0.13883848,0.003329639,0.00033781453,0.00016278552]",0.85733134,"[0.27064508,0.6280254,0.10132945]",0.6280254,[],,"[0.9251754,0.074824594]",0.9251754,species_with_normalization_03_07_23.ptl,sex_with_normalization_03_07_23.ptl,abdomen_with_normalization_03_07_23.ptl,abdomen_stage2_12_02_2022.ptl,2.2.1,"81, 46 - 460, 564",http://137.184.182.201:5005/images/session/fullImage-2023-03-14-18-58-28.609-fullbd66cdc5eec539ec-4-202.jpg,http://137.184.182.201:5005/images/session/image-2023-03-14-18-58-28.445-bd66cdc5eec539ec-4-202.jpg,0.89,Yes,Fresh,39.32658207,-76.62219038,Baltimore,V015,h,bd66cdc5eec539ec:70e6ae03-0545-409c-8130-cc2cdd8c2fc5,0.306944444,Pyrethroid Spray Catch (PSC),2023-03-14T18:58:28.760Z,,False,Parthvi Mehta,test_gambiae,2023-03-14T18:58:28.760Z,ParthviMehta_USA_Maryland_1678818522682&&14-03-2023&&PM_JHU_G004_02
Parthvi Mehta_USA_Maryland_1678818522682,14/03/2023,PM_JHU_G022,Anopheles funestus,Female,FF - Fully Fed,Anopheles funestus,Female,,,USA,Maryland,Baltimore,"[0.5404756,0.008686142,0.34280354,0.0011068385,0.10692782]",0.5404756,"[0.15104449,0.7469474,0.10200814]",0.7469474,[],,"[0.7800078,0.21999219]",0.7800078,species_with_normalization_03_07_23.ptl,sex_with_normalization_03_07_23.ptl,abdomen_with_normalization_03_07_23.ptl,abdomen_stage2_12_02_2022.ptl,2.2.1,"109, 227 - 290, 449",http://137.184.182.201:5005/images/session/fullImage-2023-03-14-20-41-48.136-fullbd66cdc5eec539ec-4-255.jpg,http://137.184.182.201:5005/images/session/image-2023-03-14-20-41-48.057-bd66cdc5eec539ec-4-255.jpg,0.88,Yes,Fresh,39.32658207,-76.62219038,Baltimore,V015,h,bd66cdc5eec539ec:70e6ae03-0545-409c-8130-cc2cdd8c2fc5,0.34375,Pyrethroid Spray Catch (PSC),2023-03-14T20:41:48.297Z,,False,Parthvi Mehta,test_gambiae,2023-03-14T20:41:48.297Z,ParthviMehta_USA_Maryland_1678818522682&&14-03-2023&&PM_JHU_G022
Parthvi Mehta_USA_Maryland_1678818522682,14/03/2023,PM_JHU_G022_03,Anopheles funestus,Female,FF - Fully Fed,Anopheles funestus,Female,,,USA,Maryland,Baltimore,"[0.833388,0.14569236,0.017255379,0.0005015051,0.0031628339]",0.833388,"[0.16281036,0.73387057,0.10331908]",0.73387057,[],,"[0.8936608,0.106339216]",0.8936608,species_with_normalization_03_07_23.ptl,sex_with_normalization_03_07_23.ptl,abdomen_with_normalization_03_07_23.ptl,abdomen_stage2_12_02_2022.ptl,2.2.1,"9, 9 - 378, 403",http://137.184.182.201:5005/images/session/fullImage-2023-03-14-20-41-48.245-fullbd66cdc5eec539ec-4-257.jpg,http://137.184.182.201:5005/images/session/image-2023-03-14-20-41-48.097-bd66cdc5eec539ec-4-257.jpg,0.81,Yes,Fresh,39.32658207,-76.62219038,Baltimore,V015,h,bd66cdc5eec539ec:70e6ae03-0545-409c-8130-cc2cdd8c2fc5,0.345138889,Pyrethroid Spray Catch (PSC),2023-03-14T20:41:48.343Z,,False,Parthvi Mehta,test_gambiae,2023-03-14T20:41:48.343Z,ParthviMehta_USA_Maryland_1678818522682&&14-03-2023&&PM_JHU_G022_03
Parthvi Mehta_USA_Maryland_1678818522682,14/03/2023,PM_JHU_G022_02,Anopheles gambiae,Female,FF - Fully Fed,Anopheles gambiae,Female,,,USA,Maryland,Baltimore,"[0.37930718,0.4991112,0.11416934,0.0038350823,0.0035772629]",0.4991112,"[0.14842685,0.8254694,0.02610387]",0.8254694,[],,"[0.87678766,0.123212375]",0.87678766,species_with_normalization_03_07_23.ptl,sex_with_normalization_03_07_23.ptl,abdomen_with_normalization_03_07_23.ptl,abdomen_stage2_12_02_2022.ptl,2.2.1,"118, 117 - 470, 550",http://137.184.182.201:5005/images/session/fullImage-2023-03-14-20-41-48.218-fullbd66cdc5eec539ec-4-256.jpg,http://137.184.182.201:5005/images/session/image-2023-03-14-20-41-48.070-bd66cdc5eec539ec-4-256.jpg,0.68,Yes,Fresh,39.32658207,-76.62219038,Baltimore,V015,h,bd66cdc5eec539ec:70e6ae03-0545-409c-8130-cc2cdd8c2fc5,0.344444444,Pyrethroid Spray Catch (PSC),2023-03-14T20:41:48.376Z,,False,Parthvi Mehta,test_gambiae,2023-03-14T20:41:48.376Z,ParthviMehta_USA_Maryland_1678818522682&&14-03-2023&&PM_JHU_G022_02
Parthvi Mehta_USA_Maryland_1678818522682,14/03/2023,PM_JHU_G026_02,Anopheles funestus,Female,UF - Unfed,Anopheles funestus,Female,,,USA,Maryland,Baltimore,"[0.49522206,0.1058243,0.2945388,0.048167728,0.056247197]",0.49522206,"[0.6262256,0.32454166,0.04923269]",0.6262256,[],,"[0.6047935,0.39520654]",0.6047935,species_with_normalization_03_07_23.ptl,sex_with_normalization_03_07_23.ptl,abdomen_with_normalization_03_07_23.ptl,abdomen_stage2_12_02_2022.ptl,2.2.1,"108, 107 - 326, 396",http://137.184.182.201:5005/images/session/fullImage-2023-03-14-20-41-48.235-fullbd66cdc5eec539ec-4-268.jpg,http://137.184.182.201:5005/images/session/image-2023-03-14-20-41-48.163-bd66cdc5eec539ec-4-268.jpg,0.84,Yes,Fresh,39.32658207,-76.62219038,Baltimore,V015,h,bd66cdc5eec539ec:70e6ae03-0545-409c-8130-cc2cdd8c2fc5,0.352777778,Pyrethroid Spray Catch (PSC),2023-03-14T20:41:48.416Z,,False,Parthvi Mehta,test_gambiae,2023-03-14T20:41:48.416Z,ParthviMehta_USA_Maryland_1678818522682&&14-03-2023&&PM_JHU_G026_02
